com.samsung.shealth.vitality_score,6311013,4
activity_level,activity_score,create_sh_ver,active_time_scale,activity_balance_short_term_activity,activity_balance_long_term_activity,shr_balance_scale,mvpa_time_optimal_range_max,mvpa_time_optimal_range_min,max_hr,active_time,shrv_balance_scale,main_sleep_wake_up_time,mvpa_impulse_optimal_range_max,mvpa_impulse_optimal_range_min,shr_baseline_max,shr_baseline_min,shr_calculation_index,mvpa_time,skin_temperature_scale,modify_sh_ver,sleep_balance,update_time,create_time,total_score,data_version,avg_mid_sleep_time,mvpa_time_range_max,mvpa_time_range_min,mvpa_impulse,shrv_calculation_index,sleep_regularity_scale,stable_hr_time_rate,active_time_optimal_range_max,active_time_optimal_range_min,sleep_timing,shr_score,shr_value,mvpa_impulse_scale,sleep_regularity,sleep_timing_scale,prev_shrv_avg,mvpa_time_scale,deviceuuid,sleep_score,sleep_duration_scale,activity_balance,activity_balance_range_max,activity_balance_range_min,mvpa_impulse_range_max,mvpa_impulse_range_min,pkg_name,sleep_balance_scale,shrv_score,shrv_value,sleep_duration,skin_temperature_optimal_range_max,skin_temperature_optimal_range_min,activity_balance_scale,active_time_range_max,active_time_range_min,shrv_baseline_max,shrv_baseline_min,datauuid,prev_shr_avg,day_time,shrv_penalty,activity_balance_optimal_range_max,activity_balance_optimal_range_min
180003,87.595,62850050,97.162735,,,60.03495,,,193.0,6870877,79.45712,1736576610000,,,57.47326,54.44835,-1,1214875,,62850050,0.858886,2025-01-11 14:29:05.656,2025-01-11 14:29:05.656,79.05571,1,2.7111113,,,134.20033,-1,96.61559,0.43636364,,,22.6,60.03495,63.516026,99.276665,0.8285792,83.0,60.764637,90.92047,AxW6kiZDC9,90.69392,86.125,,,,,,com.sec.android.app.shealth,97.04045,79.45712,51.801613,25470000,,,,,,79.90263,54.83524,47667978-563d-40bb-b5e2-b5fc0a0d409d,60.49817,2025-01-11 00:00:00.000,0,,,
180003,80.962975,62850050,93.12451,,,75.66928,,,193.0,7997557,96.533195,1736662830000,,,57.743015,54.70391,-1,0,,62850050,0.8053268,2025-01-12 12:08:53.916,2025-01-12 12:08:53.916,82.36847,1,2.6000001,,,-1.0,-1,95.262665,0.7534418,,,23.683332,75.66928,60.578724,-1.0,0.73206973,91.83333,60.728718,76.37931,AxW6kiZDC9,87.38068,87.145836,,,,,,com.sec.android.app.shealth,96.28963,96.533195,64.69532,25715000,,,,,,79.85224,54.803635,ebb766ba-b270-40fb-beb4-8d1b2b0bdc2b,60.782124,2025-01-12 00:00:00.000,0,,,
180003,70.53692,62850050,93.40863,,,76.58452,,,193.0,6435400,96.98084,1736748060000,,,58.49225,55.413708,-1,5618,,62850050,0.6592776,2025-01-13 11:29:08.602,2025-01-13 11:29:08.602,80.953094,1,2.7,,,124.0,-1,94.60315,0.6813725,,,23.216667,76.58452,61.08299,91.07558,0.68502504,87.16667,59.34027,76.43742,AxW6kiZDC9,87.07962,84.125,,,,,,com.sec.android.app.shealth,94.24222,96.98084,62.68232,24885000,,,,,,77.90638,53.581623,edd6a4e8-d9e6-4d9d-9e0b-cd237f029357,61.57079,2025-01-13 00:00:00.000,0,,,
180003,54.155136,62850050,71.86386,,,95.23279,,,193.0,3356208,90.184654,1736836860000,,,58.63026,55.544456,-1,471699,,62900750,0.66640186,2025-01-15 02:50:09.514,2025-01-14 12:21:33.533,84.32877,1,2.6333334,,,127.9542,-1,91.955925,0.41688654,,,0.36666667,95.23279,57.505882,94.25476,0.57381105,86.33333,58.69381,81.25896,AxW6kiZDC9,82.94088,84.041664,,,,,,com.sec.android.app.shealth,90.65791,90.184654,70.104385,24855000,,,,,,77.00139,53.012405,26854b6f-0ee3-4c26-8128-41dd36863d7b,61.716064,2025-01-14 00:00:00.000,0,,,
180003,60.983253,62900750,72.552124,,,98.29988,,,193.0,3436046,84.86078,1736921520000,,,57.77646,54.73559,-1,885853,,62900750,0.67335504,2025-01-15 11:32:43.083,2025-01-15 11:32:43.083,84.9444,1,2.704762,,,141.71179,-1,92.15913,0.39673913,,,0.06666667,98.29988,55.424908,94.684105,0.559316,89.33333,61.481438,85.81496,AxW6kiZDC9,81.790634,82.940475,,,,,,com.sec.android.app.shealth,90.56044,84.86078,81.21825,24458571,,,,,,80.9084,55.465828,fa4caf79-160b-44f1-97a2-72d4e08717eb,60.817326,2025-01-15 00:00:00.000,0,,,
180003,55.360023,62900750,69.49196,,,95.844696,,,193.0,3081066,87.65796,1737007170000,,,56.287254,53.324764,-1,703985,,62900750,0.56173825,2025-01-16 11:28:41.584,2025-01-16 11:28:41.584,83.594284,1,2.8880951,,,133.11417,-1,95.23503,0.7125506,,,23.816668,95.844696,54.966103,98.40338,0.33990115,93.16667,66.45016,83.66192,AxW6kiZDC9,80.8118,80.64286,,,,,,com.sec.android.app.shealth,92.12516,87.65796,83.65008,23631428,,,,,,87.90141,59.832012,62ee5347-8b89-4352-a0bf-b016c4396748,59.24974,2025-01-16 00:00:00.000,0,,,
180003,65.405,62900750,85.86957,,,74.68586,,,193.0,5560869,84.056885,1737099720000,,,56.14723,53.19211,-1,215767,,62900750,0.6055909,2025-01-17 13:05:32.925,2025-01-17 13:05:32.925,75.178635,1,3.2071428,,,125.95212,-1,89.87952,0.518732,,,1.9166667,74.68586,60.641792,92.64508,0.7219274,85.833336,66.841995,78.61138,AxW6kiZDC9,73.38333,80.22619,,,,,,com.sec.android.app.shealth,91.51041,84.056885,59.582706,23481428,,,,,,88.45441,60.175983,01ee4240-5bdc-4930-bcc9-4a179ef542bc,59.102345,2025-01-17 00:00:00.000,0,,,
180003,58.757248,62900750,78.45035,,,85.56312,,,193.0,4320361,99.602776,1737186630000,,,55.201122,52.2958,-1,466937,,62900750,0.3285801,2025-01-18 13:21:36.574,2025-01-18 13:21:36.574,82.52133,1,3.5,,,127.09223,-1,89.03468,0.03539823,,,1.25,85.56312,56.544716,93.56174,0.7821928,92.5,70.469055,81.20969,AxW6kiZDC9,80.35682,78.5119,,,,,,com.sec.android.app.shealth,95.39374,99.602776,71.000465,22864285,,,,,,93.58333,63.357586,aa2a23c2-b705-43b7-9c15-5d2f527cce42,58.106445,2025-01-18 00:00:00.000,0,,,
180003,37.22763,62900750,53.149666,,,76.10133,,,193.0,586015,85.47122,1737435060000,,,54.314354,51.455704,-1,0,,62900750,0.28379375,2025-01-21 09:58:19.129,2025-01-21 09:58:19.129,74.28454,1,3.4566667,,,-1.0,-1,84.97794,0.7073864,,,22.983334,76.10133,58.2875,-1.0,1.0723599,84.91667,72.32707,76.37931,AxW6kiZDC9,79.31875,76.1,,,,,,com.sec.android.app.shealth,96.02159,85.47122,65.20466,21996000,,,,,,96.21755,64.98579,b0a52a33-1dea-48b7-a164-7a18ef47b5b9,57.173004,2025-01-21 00:00:00.000,0,,,
180003,73.22905,62900750,90.36588,,,76.13873,,,193.0,6082442,81.41617,1737524280000,,,54.99496,52.10049,-1,505026,,62900750,0.37912905,2025-01-22 10:44:18.560,2025-01-22 10:44:18.560,78.457886,1,3.2833333,,,126.045975,-1,84.012344,0.7574257,,,22.9,76.13873,59.00707,92.720535,1.1756796,84.5,68.9339,81.60372,AxW6kiZDC9,80.95676,77.299995,,,,,,com.sec.android.app.shealth,94.68511,81.41617,59.70359,22428000,,,,,,91.410286,62.011467,afc2ef54-c6b1-4ee9-8afc-e8390df7ad20,57.889435,2025-01-22 00:00:00.000,0,,,
