com.samsung.shealth.activity.day_summary,6311013,6
movement_type,create_sh_ver,energy_type,exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,modify_sh_ver,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
0,62930070,0,0,0,300,0,90,0,62930070,2025-03-09 04:04:03.708,10,2025-03-09 03:19:04.853,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,643c942f-d939-401d-9367-5d3066b67c7c.extra_data.json,5sl+lZ1Pby,0,com.sec.android.app.shealth,0,86400000,643c942f-d939-401d-9367-5d3066b67c7c,2025-02-09 00:00:00.000,
0,62930070,0,5692000,12824,300,7853366,90,0,62950170,2025-04-05 16:45:46.413,10,2025-03-09 05:28:42.774,0.0,30,30,-1,2047683,144,12,0,8,9736.357,1380000,619.8946,7c69b886-07c4-49e4-809e-5abec78b4896.extra_data.json,5sl+lZ1Pby,23404,com.sec.android.app.shealth,7829962,86400000,7c69b886-07c4-49e4-809e-5abec78b4896,2025-03-09 00:00:00.000,
,,,,0,,0,90,0,,2022-02-12 01:38:22.363,,2022-02-12 01:38:22.363,,,,-1,0,0,,,,0.0,,0.0,5df3c636-1383-44d1-b6d3-91a467ee6b54.extra_data.json,yJFPNrhfsu,0,com.sec.android.app.shealth,0,-1,5df3c636-1383-44d1-b6d3-91a467ee6b54,2022-01-30 00:00:00.000,
,,,,0,,0,90,0,,2022-02-12 01:38:22.182,,2022-02-12 01:38:22.182,,,,-1,0,0,,,,0.0,,0.0,7c9c1cd1-39f7-4845-97ac-8a760836a396.extra_data.json,yJFPNrhfsu,0,com.sec.android.app.shealth,0,-1,7c9c1cd1-39f7-4845-97ac-8a760836a396,2022-01-19 00:00:00.000,
,,,,0,,0,90,0,,2022-02-12 01:38:22.510,,2022-02-12 01:38:22.510,,,,-1,0,0,,,,0.0,,0.0,d6ca6bdf-45ad-4594-8468-658cc9eff86a.extra_data.json,yJFPNrhfsu,0,com.sec.android.app.shealth,0,-1,d6ca6bdf-45ad-4594-8468-658cc9eff86a,2022-02-07 00:00:00.000,
,,,,0,,0,90,0,,2022-02-12 01:38:22.459,,2022-02-12 01:38:22.459,,,,-1,0,0,,,,0.0,,0.0,b8d192a5-a737-4549-b2cf-28d8c4108799.extra_data.json,yJFPNrhfsu,0,com.sec.android.app.shealth,0,-1,b8d192a5-a737-4549-b2cf-28d8c4108799,2022-02-05 00:00:00.000,
,,,,0,,0,90,0,,2022-02-12 01:38:22.351,,2022-02-12 01:38:22.351,,,,-1,0,0,,,,0.0,,0.0,54c0282b-ce40-4bb5-898f-15679eee0a8c.extra_data.json,yJFPNrhfsu,0,com.sec.android.app.shealth,0,-1,54c0282b-ce40-4bb5-898f-15679eee0a8c,2022-01-29 00:00:00.000,
,,,,0,,0,90,0,,2022-02-12 01:38:22.484,,2022-02-12 01:38:22.484,,,,-1,0,0,,,,0.0,,0.0,fd33c086-7e67-44f1-aed8-b3016fca5012.extra_data.json,yJFPNrhfsu,0,com.sec.android.app.shealth,0,-1,fd33c086-7e67-44f1-aed8-b3016fca5012,2022-02-06 00:00:00.000,
,,,,0,,0,90,0,,2022-02-12 01:38:22.408,,2022-02-12 01:38:22.408,,,,-1,0,0,,,,0.0,,0.0,e5f9650f-64fd-4202-b7b4-d12670c5f299.extra_data.json,yJFPNrhfsu,0,com.sec.android.app.shealth,0,-1,e5f9650f-64fd-4202-b7b4-d12670c5f299,2022-02-02 00:00:00.000,
,,,,0,,0,90,0,,2022-02-12 01:38:22.201,,2022-02-12 01:38:22.201,,,,-1,0,0,,,,0.0,,0.0,8ff731a3-0c70-49b2-a95b-bd5efe2bb261.extra_data.json,yJFPNrhfsu,0,com.sec.android.app.shealth,0,-1,8ff731a3-0c70-49b2-a95b-bd5efe2bb261,2022-01-20 00:00:00.000,
,,,,0,,0,90,0,,2022-02-12 01:38:22.241,,2022-02-12 01:38:22.241,,,,-1,0,0,,,,0.0,,0.0,98781d7c-f559-4049-a7a0-8419bdd11b95.extra_data.json,yJFPNrhfsu,0,com.sec.android.app.shealth,0,-1,98781d7c-f559-4049-a7a0-8419bdd11b95,2022-01-23 00:00:00.000,
,,,,0,,0,90,0,,2022-02-12 01:38:22.141,,2022-02-12 01:38:22.141,,,,-1,0,0,,,,0.0,,0.0,482d248d-dd93-439d-862a-7ebd5b9c326c.extra_data.json,yJFPNrhfsu,0,com.sec.android.app.shealth,0,-1,482d248d-dd93-439d-862a-7ebd5b9c326c,2022-01-17 00:00:00.000,
,,,,0,,0,90,0,,2022-02-12 01:38:22.228,,2022-02-12 01:38:22.228,,,,-1,0,0,,,,0.0,,0.0,01edc048-d2bb-415d-af61-733889cb44f8.extra_data.json,yJFPNrhfsu,0,com.sec.android.app.shealth,0,-1,01edc048-d2bb-415d-af61-733889cb44f8,2022-01-22 00:00:00.000,
,,,,0,,0,90,0,,2022-02-12 01:38:22.556,,2022-02-12 01:38:22.556,,,,-1,0,0,,,,0.0,,0.0,aa286073-f162-4a54-8966-543bfd41a9a0.extra_data.json,yJFPNrhfsu,0,com.sec.android.app.shealth,0,-1,aa286073-f162-4a54-8966-543bfd41a9a0,2022-02-10 00:00:00.000,
,,,,0,,0,90,0,,2022-02-12 01:38:22.525,,2022-02-12 01:38:22.525,,,,-1,0,0,,,,0.0,,0.0,60dab098-54c6-4b11-9e68-3f956d1b8ae9.extra_data.json,yJFPNrhfsu,0,com.sec.android.app.shealth,0,-1,60dab098-54c6-4b11-9e68-3f956d1b8ae9,2022-02-08 00:00:00.000,
,,,,0,,0,90,0,,2022-02-12 01:38:22.091,,2022-02-12 01:38:22.091,,,,-1,0,0,,,,0.0,,0.0,35370687-7986-4b28-8b61-3221fb2785e0.extra_data.json,yJFPNrhfsu,0,com.sec.android.app.shealth,0,-1,35370687-7986-4b28-8b61-3221fb2785e0,2022-01-15 00:00:00.000,
,,,,0,,0,90,0,,2022-02-12 01:38:22.541,,2022-02-12 01:38:22.541,,,,-1,0,0,,,,0.0,,0.0,5f001596-c98a-48c4-8ff9-a2036b966c02.extra_data.json,yJFPNrhfsu,0,com.sec.android.app.shealth,0,-1,5f001596-c98a-48c4-8ff9-a2036b966c02,2022-02-09 00:00:00.000,
,,,,0,,0,90,0,,2022-02-12 01:38:22.340,,2022-02-12 01:38:22.340,,,,-1,0,0,,,,0.0,,0.0,9010b5f0-155e-48ac-947a-3dbff9a6fa5f.extra_data.json,yJFPNrhfsu,0,com.sec.android.app.shealth,0,-1,9010b5f0-155e-48ac-947a-3dbff9a6fa5f,2022-01-28 00:00:00.000,
