com.samsung.shealth.exercise.recovery_heart_rate,6311013,2
create_sh_ver,start_time,modify_sh_ver,update_time,create_time,time_offset,deviceuuid,exercise_id,pkg_name,end_time,datauuid,heart_rate
62950051,2025-04-14 13:26:02.625,62950051,2025-04-14 13:28:02.774,2025-04-14 13:28:02.774,UTC-0500,jkrxtcKrsf,dd526eda-1c42-453c-9435-01f99de99b61,com.sec.android.app.shealth,2025-04-14 13:28:02.625,353610dd-fca3-4f85-84fc-a9689a6b5603,353610dd-fca3-4f85-84fc-a9689a6b5603.heart_rate.json,
62950051,2025-04-14 22:37:38.006,62950051,2025-04-14 22:39:38.218,2025-04-14 22:39:38.218,UTC-0500,jkrxtcKrsf,f8f7e9ec-e415-4b02-835b-4aa664ab9ca3,com.sec.android.app.shealth,2025-04-14 22:39:38.006,8bdd4dc2-42c8-4a5a-8fa8-cd0157ab21cb,8bdd4dc2-42c8-4a5a-8fa8-cd0157ab21cb.heart_rate.json,
62950051,2025-04-16 13:16:08.857,62950051,2025-04-16 13:18:08.907,2025-04-16 13:18:08.907,UTC-0500,jkrxtcKrsf,8ae91c09-a3de-436b-b078-e5ad3537b799,com.sec.android.app.shealth,2025-04-16 13:18:08.857,db7dd407-39ae-4e27-9e82-ef17121761fb,db7dd407-39ae-4e27-9e82-ef17121761fb.heart_rate.json,
62950051,2025-04-16 22:02:12.195,62950051,2025-04-16 22:04:12.225,2025-04-16 22:04:12.225,UTC-0500,jkrxtcKrsf,6b6ba8cf-667c-4b14-87e4-0700a5fa741f,com.sec.android.app.shealth,2025-04-16 22:04:12.195,400002ab-67d8-4ec1-ad9d-302ed3dbc99b,400002ab-67d8-4ec1-ad9d-302ed3dbc99b.heart_rate.json,
62970091,2025-05-20 01:29:20.325,62970091,2025-05-20 01:31:18.095,2025-05-20 01:31:18.095,UTC-0500,jkrxtcKrsf,a43e595c-0ccb-4592-9ac0-8eae5312e489,com.sec.android.app.shealth,2025-05-20 01:31:18.059,f330f2ea-918e-402f-ad2b-43c5b536fb94,f330f2ea-918e-402f-ad2b-43c5b536fb94.heart_rate.json,
62980011,2025-05-21 13:12:01.655,62980011,2025-05-21 13:14:01.657,2025-05-21 13:14:01.657,UTC-0500,jkrxtcKrsf,82b427b6-ee30-4286-b92a-fd8e9edc1ad7,com.sec.android.app.shealth,2025-05-21 13:14:01.647,9f61321e-4821-4ef2-9466-66cdfd50c123,9f61321e-4821-4ef2-9466-66cdfd50c123.heart_rate.json,
62980011,2025-05-23 01:33:08.685,62980011,2025-05-23 01:35:08.786,2025-05-23 01:35:08.786,UTC-0500,jkrxtcKrsf,49fd5627-cb98-4426-af9d-5dc66cc1a033,com.sec.android.app.shealth,2025-05-23 01:35:08.685,02809cda-dede-47ad-9f1a-e0a1f659b6f1,02809cda-dede-47ad-9f1a-e0a1f659b6f1.heart_rate.json,
62980011,2025-05-25 23:13:44.139,62980011,2025-05-25 23:15:44.238,2025-05-25 23:15:44.238,UTC-0500,jkrxtcKrsf,d9b2ea08-6528-47e1-bf5d-15accc9c9694,com.sec.android.app.shealth,2025-05-25 23:15:44.139,95c96901-4d00-42ad-8986-47919dbfa758,95c96901-4d00-42ad-8986-47919dbfa758.heart_rate.json,
62980011,2025-05-27 00:48:31.498,62980011,2025-05-27 00:50:31.574,2025-05-27 00:50:31.574,UTC-0500,jkrxtcKrsf,77da6eda-723f-4a92-82cf-dbccda9a9792,com.sec.android.app.shealth,2025-05-27 00:50:31.498,ff324ce7-d69f-4037-b269-48f249118a2f,ff324ce7-d69f-4037-b269-48f249118a2f.heart_rate.json,
62980011,2025-05-29 01:52:27.421,62980011,2025-05-29 01:54:27.736,2025-05-29 01:54:27.736,UTC-0500,jkrxtcKrsf,cb2dbd65-cf9b-4ecb-a521-b6eeef3a40ef,com.sec.android.app.shealth,2025-05-29 01:54:27.421,3fc58893-35c2-41c5-a419-82a3715c6d37,3fc58893-35c2-41c5-a419-82a3715c6d37.heart_rate.json,
62980011,2025-05-30 03:01:20.015,62980011,2025-05-30 03:03:20.138,2025-05-30 03:03:20.138,UTC-0500,jkrxtcKrsf,6029868f-7a88-4305-98a1-42951d9638dc,com.sec.android.app.shealth,2025-05-30 03:03:20.015,8aa3a77a-8a0c-4c3f-8856-751fc1f88589,8aa3a77a-8a0c-4c3f-8856-751fc1f88589.heart_rate.json,
62980011,2025-05-30 22:11:00.690,62980011,2025-05-30 22:13:00.796,2025-05-30 22:13:00.796,UTC-0500,jkrxtcKrsf,66a8a8e8-9ea5-404b-b636-d5ca416acd2e,com.sec.android.app.shealth,2025-05-30 22:13:00.690,8b334193-7952-42bb-82ea-51a10e0847fc,8b334193-7952-42bb-82ea-51a10e0847fc.heart_rate.json,
62980011,2025-05-31 14:26:34.648,62980011,2025-05-31 14:28:34.961,2025-05-31 14:28:34.961,UTC-0500,jkrxtcKrsf,7b741c05-4d00-493b-94db-e8d83c9df247,com.sec.android.app.shealth,2025-05-31 14:28:34.648,a16acd84-8ef1-45ea-a6b1-6367afa9b266,a16acd84-8ef1-45ea-a6b1-6367afa9b266.heart_rate.json,
62980011,2025-06-01 12:03:21.056,62980011,2025-06-01 12:05:21.296,2025-06-01 12:05:21.296,UTC-0500,jkrxtcKrsf,32fd94bf-0123-4e58-a9fd-67dd4eaae8ba,com.sec.android.app.shealth,2025-06-01 12:05:21.056,29402731-0456-4b89-8e21-7b7e8df33662,29402731-0456-4b89-8e21-7b7e8df33662.heart_rate.json,
62980011,2025-06-02 12:07:31.024,62980011,2025-06-02 12:09:31.121,2025-06-02 12:09:31.121,UTC-0500,jkrxtcKrsf,900c3664-ebcd-4d00-aac3-ed3a426199e2,com.sec.android.app.shealth,2025-06-02 12:09:31.024,1c512667-c1b9-4f51-bf85-66cffa8c0c12,1c512667-c1b9-4f51-bf85-66cffa8c0c12.heart_rate.json,
62980011,2025-06-04 11:51:36.990,62980011,2025-06-04 11:53:37.026,2025-06-04 11:53:37.026,UTC-0500,jkrxtcKrsf,977b7ad9-3a03-4b21-b828-6b1a9d9e13e0,com.sec.android.app.shealth,2025-06-04 11:53:36.990,0d66c0b0-5324-4d9b-8c40-2e5a5f152f16,0d66c0b0-5324-4d9b-8c40-2e5a5f152f16.heart_rate.json,
62980011,2025-06-05 11:30:15.082,62980011,2025-06-05 11:32:15.159,2025-06-05 11:32:15.159,UTC-0500,jkrxtcKrsf,41582237-6c95-402c-8a2c-010099f6a5b6,com.sec.android.app.shealth,2025-06-05 11:32:15.082,9ed863ae-7eed-4f05-9b9a-2bc46d670e22,9ed863ae-7eed-4f05-9b9a-2bc46d670e22.heart_rate.json,
62980011,2025-06-09 12:48:28.987,62980011,2025-06-09 12:50:29.875,2025-06-09 12:50:29.875,UTC-0500,jkrxtcKrsf,9b726640-d192-497e-a696-72e0b76736e0,com.sec.android.app.shealth,2025-06-09 12:50:28.987,0274d09e-78ac-4d7b-959c-a77914377d58,0274d09e-78ac-4d7b-959c-a77914377d58.heart_rate.json,
62980011,2025-06-11 00:17:38.370,62980011,2025-06-11 00:19:38.790,2025-06-11 00:19:38.790,UTC-0500,jkrxtcKrsf,e4145469-64d2-40cc-be20-54b21c346d4f,com.sec.android.app.shealth,2025-06-11 00:19:38.370,b6a18153-5534-4212-aa3a-2031b7cb5f60,b6a18153-5534-4212-aa3a-2031b7cb5f60.heart_rate.json,
62980011,2025-06-12 12:50:24.917,62980011,2025-06-12 12:52:25.254,2025-06-12 12:52:25.254,UTC-0500,jkrxtcKrsf,579e1f04-390c-4350-92ac-c8b091dea3f5,com.sec.android.app.shealth,2025-06-12 12:52:24.917,7861e63a-3087-4bd8-b52c-47c2c39cfe29,7861e63a-3087-4bd8-b52c-47c2c39cfe29.heart_rate.json,
62980011,2025-06-16 12:13:06.686,62980011,2025-06-16 12:15:06.848,2025-06-16 12:15:06.848,UTC-0500,jkrxtcKrsf,fbab8760-4f4a-4389-99cc-5b05a3ca98b3,com.sec.android.app.shealth,2025-06-16 12:15:06.686,cf0b6796-01d8-47be-9ab9-f7af9386acfb,cf0b6796-01d8-47be-9ab9-f7af9386acfb.heart_rate.json,
62980011,2025-06-17 13:00:16.544,62980011,2025-06-17 13:02:16.596,2025-06-17 13:02:16.596,UTC-0500,jkrxtcKrsf,b7b558c9-7495-4988-97f5-163d3cc7fd99,com.sec.android.app.shealth,2025-06-17 13:02:16.544,67b5731c-c41c-45f2-983d-603c9782f3f3,67b5731c-c41c-45f2-983d-603c9782f3f3.heart_rate.json,
62980011,2025-06-21 15:35:46.482,62980011,2025-06-21 15:37:46.592,2025-06-21 15:37:46.592,UTC-0500,jkrxtcKrsf,01d89d63-b4b1-4099-83d1-3cd3dc7b027d,com.sec.android.app.shealth,2025-06-21 15:37:46.482,a1f4b9ba-b66f-4e75-b91d-39be8d68513d,a1f4b9ba-b66f-4e75-b91d-39be8d68513d.heart_rate.json,
62980011,2025-06-22 12:35:00.106,62980011,2025-06-22 12:36:20.505,2025-06-22 12:36:20.505,UTC-0500,jkrxtcKrsf,817f47d3-02ce-4676-a666-b4b77028a01e,com.sec.android.app.shealth,2025-06-22 12:36:20.490,64570286-9cf9-4614-bb5f-5719be7b6351,64570286-9cf9-4614-bb5f-5719be7b6351.heart_rate.json,
62980011,2025-06-22 12:36:34.226,62980011,2025-06-22 12:38:34.368,2025-06-22 12:38:34.368,UTC-0500,jkrxtcKrsf,59f74a72-3edd-4dcc-9f2b-08e9ac48347f,com.sec.android.app.shealth,2025-06-22 12:38:34.226,992d7c54-5320-45e2-bc25-443e75ec6881,992d7c54-5320-45e2-bc25-443e75ec6881.heart_rate.json,
62980011,2025-06-22 12:58:49.400,62980011,2025-06-22 13:00:49.506,2025-06-22 13:00:49.506,UTC-0500,jkrxtcKrsf,bf03a5a0-eeb5-4306-bfe6-14d9374030dc,com.sec.android.app.shealth,2025-06-22 13:00:49.400,f67d6ce8-f1e2-4aeb-91c7-0ca4a7cbcee2,f67d6ce8-f1e2-4aeb-91c7-0ca4a7cbcee2.heart_rate.json,
62980011,2025-06-24 13:13:15.069,62980011,2025-06-24 13:15:15.226,2025-06-24 13:15:15.226,UTC-0500,jkrxtcKrsf,979fe706-2ccd-4940-90bb-6875a1a882a1,com.sec.android.app.shealth,2025-06-24 13:15:15.069,b7598518-83db-4130-806a-ad6a7ef3a643,b7598518-83db-4130-806a-ad6a7ef3a643.heart_rate.json,
62980011,2025-06-25 12:38:04.361,62980011,2025-06-25 12:40:04.405,2025-06-25 12:40:04.405,UTC-0500,jkrxtcKrsf,f8bd5634-19f5-4c9c-91e6-163ca7bab03b,com.sec.android.app.shealth,2025-06-25 12:40:04.361,6cfa1d6d-3524-4b5d-9331-e00acef27eef,6cfa1d6d-3524-4b5d-9331-e00acef27eef.heart_rate.json,
